,theme,Name,Rating,communityScoreWeighted
443,"Horror, the undead and monster classics",Onibaba,4.0,4.03
444,"Horror, the undead and monster classics",Pulse,4.0,3.65
445,"Horror, the undead and monster classics",The Descent,4.5,3.64
446,"Horror, the undead and monster classics",Lights Out,3.5,2.78
447,"Horror, the undead and monster classics",Alien,4.5,4.28
448,"Horror, the undead and monster classics",The Wicker Man,4.0,3.89
449,"Horror, the undead and monster classics",Tigers Are Not Afraid,4.5,3.66
450,"Horror, the undead and monster classics",The Brood,3.5,3.58
451,"Horror, the undead and monster classics",A Tale of Two Sisters,4.5,3.66
452,"Horror, the undead and monster classics",Malignant,3.0,3.15
453,"Horror, the undead and monster classics",Prom Night,1.5,1.82
454,"Horror, the undead and monster classics",The Texas Chain Saw Massacre,4.0,3.9
455,"Horror, the undead and monster classics",Titane,4.0,3.66
456,"Horror, the undead and monster classics",The Invisible Man,4.0,3.52
457,"Horror, the undead and monster classics",The Empty Man,3.5,3.24
458,"Horror, the undead and monster classics",V/H/S/94,3.0,2.91
459,"Horror, the undead and monster classics",The Medium,3.5,3.36
460,"Horror, the undead and monster classics",Ringu,4.0,3.57
461,"Horror, the undead and monster classics",Trick 'r Treat,4.0,3.58
462,"Horror, the undead and monster classics",Hellraiser,4.5,3.54
463,"Horror, the undead and monster classics",Noroi: The Curse,4.5,3.69
464,"Horror, the undead and monster classics",The Wailing,5.0,3.92
465,"Horror, the undead and monster classics",The Return of the Living Dead,3.5,3.85
466,"Horror, the undead and monster classics",Caveat,3.5,3.21
467,"Horror, the undead and monster classics",The Terror Within,2.0,2.43
468,"Horror, the undead and monster classics",Censor,3.5,3.24
469,"Horror, the undead and monster classics",Gaia,3.0,2.99
470,"Horror, the undead and monster classics",I Know What You Did Last Summer,3.0,2.9
471,"Horror, the undead and monster classics",Kwaidan,4.0,4.14
472,"Horror, the undead and monster classics",Creep,4.0,3.38
473,"Horror, the undead and monster classics",Terrified,3.0,3.23
474,"Horror, the undead and monster classics",The Host,3.5,3.71
475,"Horror, the undead and monster classics",You Won't Be Alone,3.5,3.58
476,"Horror, the undead and monster classics",House,4.0,4.0
477,"Horror, the undead and monster classics",Hellbound: Hellraiser II,3.5,3.26
478,"Horror, the undead and monster classics",The Thing,4.5,4.32
479,"Horror, the undead and monster classics",Diabolique,4.0,4.08
480,"Horror, the undead and monster classics",The Texas Chainsaw Massacre,2.5,2.91
481,"Horror, the undead and monster classics",Texas Chainsaw Massacre,1.5,1.99
482,"Horror, the undead and monster classics",Hellbender,3.0,3.22
483,"Horror, the undead and monster classics",Fresh,3.0,3.52
484,"Horror, the undead and monster classics",The Killing of a Sacred Deer,4.0,3.75
485,"Horror, the undead and monster classics",Hereditary,4.5,4.01
486,"Horror, the undead and monster classics",The Evil Dead,4.0,3.72
487,"Horror, the undead and monster classics",The Night House,3.0,3.43
488,"Horror, the undead and monster classics",Train to Busan,3.5,3.94
489,"Horror, the undead and monster classics",Evil Dead II,4.0,4.05
490,"Horror, the undead and monster classics",Army of Darkness,4.0,3.74
491,"Horror, the undead and monster classics",X,3.5,3.55
492,"Horror, the undead and monster classics",Crimes of the Future,3.5,3.37
493,"Horror, the undead and monster classics",The Babadook,4.0,3.45
494,"Horror, the undead and monster classics",Videodrome,4.5,3.86
495,"Horror, the undead and monster classics",Incantation,3.0,3.1
496,"Horror, the undead and monster classics",Nope,4.0,3.96
497,"Horror, the undead and monster classics",Antlers,2.0,2.75
498,"Horror, the undead and monster classics",Death Proof,4.0,3.49
499,Crude humor and satire,The Wolf of Wall Street,3.0,4.01
500,Crude humor and satire,Scott Pilgrim vs. the World,2.0,3.87
501,Crude humor and satire,The Big Short,3.5,3.76
502,Crude humor and satire,Trainspotting,2.0,4.14
503,Crude humor and satire,Housebound,2.5,3.42
504,Crude humor and satire,Rubber,3.0,2.82
505,Crude humor and satire,John Dies at the End,2.0,3.1
506,Crude humor and satire,Snakes on a Plane,3.0,2.43
507,Crude humor and satire,The Little Shop of Horrors,2.5,3.11
508,Crude humor and satire,The Return of the Living Dead,3.5,3.85
509,Crude humor and satire,The Lobster,4.0,3.78
510,Crude humor and satire,Don't Look Up,2.5,3.13
511,Crude humor and satire,Jackass Forever,4.0,3.77
512,Crude humor and satire,Evil Dead II,4.0,4.05
513,Crude humor and satire,Army of Darkness,4.0,3.74
514,Crude humor and satire,The Other Guys,3.0,3.21
515,Song and dance,Scott Pilgrim vs. the World,2.0,3.87
516,Song and dance,Moana,3.5,3.76
517,Song and dance,Silver Linings Playbook,3.0,3.63
518,Song and dance,The Rocky Horror Picture Show,3.0,3.97
519,Song and dance,Sweeney Todd: The Demon Barber of Fleet Street,2.5,3.47
520,Song and dance,The Dirt,3.0,3.09
521,Song and dance,The Little Shop of Horrors,2.5,3.11
522,Song and dance,Ma Rainey's Black Bottom,3.0,3.51
523,Song and dance,Les Misérables,1.5,3.53
524,Song and dance,Licorice Pizza,3.0,3.7
525,"Crime, drugs and gangsters",Pulp Fiction,2.0,4.3
526,"Crime, drugs and gangsters",The Dark Knight,3.0,4.44
527,"Crime, drugs and gangsters",The Wolf of Wall Street,3.0,4.01
528,"Crime, drugs and gangsters",Drive,4.0,3.96
529,"Crime, drugs and gangsters",The Godfather,4.0,4.54
530,"Crime, drugs and gangsters",Nightcrawler,4.0,4.03
531,"Crime, drugs and gangsters",The Shawshank Redemption,3.0,4.47
532,"Crime, drugs and gangsters",Reservoir Dogs,3.0,4.12
533,"Crime, drugs and gangsters",GoodFellas,4.0,4.43
534,"Crime, drugs and gangsters",Trainspotting,2.0,4.14
535,"Crime, drugs and gangsters",Catch Me If You Can,4.0,4.0
536,"Crime, drugs and gangsters",From Dusk Till Dawn,3.0,3.49
537,"Crime, drugs and gangsters",I Care a Lot,3.5,3.13
538,"Crime, drugs and gangsters",No Country for Old Men,4.5,4.27
539,"Crime, drugs and gangsters",Tigers Are Not Afraid,4.5,3.66
540,"Crime, drugs and gangsters",Mother,4.0,4.06
541,"Crime, drugs and gangsters",Natural Born Killers,3.0,3.53
542,"Crime, drugs and gangsters",The Batman,4.0,4.09
543,"Crime, drugs and gangsters",Taxi Driver,3.5,4.21
544,"Crime, drugs and gangsters",The Departed,4.5,4.2
545,"Crime, drugs and gangsters",The Godfather: Part II,4.5,4.53
546,"Crime, drugs and gangsters",Sympathy for Mr. Vengeance,4.0,3.86
547,"Crime, drugs and gangsters",Sympathy for Lady Vengeance,4.5,3.93
548,High speed and special ops,The Dark Knight,3.0,4.44
549,High speed and special ops,Inception,2.0,4.18
550,High speed and special ops,Drive,4.0,3.96
551,High speed and special ops,Die Hard,3.0,4.06
552,High speed and special ops,State of Play,3.0,3.26
553,High speed and special ops,I Care a Lot,3.5,3.13
554,High speed and special ops,The Batman,4.0,4.09
555,High speed and special ops,Death Proof,4.0,3.49
556,Underdogs and coming of age,The Social Network,4.0,3.95
557,Underdogs and coming of age,Forrest Gump,5.0,4.13
558,Underdogs and coming of age,Scott Pilgrim vs. the World,2.0,3.87
559,Underdogs and coming of age,Silver Linings Playbook,3.0,3.63
560,Underdogs and coming of age,Trainspotting,2.0,4.14
561,Underdogs and coming of age,The Dirt,3.0,3.09
562,Underdogs and coming of age,Lady Bird,3.5,3.88
563,Underdogs and coming of age,Free Solo,4.5,3.97
564,Underdogs and coming of age,The Queen's Gambit,4.0,4.27
565,Underdogs and coming of age,The Nine Lives of Christmas,3.5,3.07
566,Underdogs and coming of age,Licorice Pizza,3.0,3.7
567,Underdogs and coming of age,The Alpinist,4.5,3.82
568,Underdogs and coming of age,Jackass Forever,4.0,3.77
569,Underdogs and coming of age,Turning Red,4.0,3.77
570,Underdogs and coming of age,Tickled,3.5,3.72
571,Underdogs and coming of age,Moneyball,3.0,3.81
572,Westerns,Kill Bill: Vol. 1,1.0,4.15
573,Westerns,Solo: A Star Wars Story,3.5,2.99
574,Westerns,From Dusk Till Dawn,3.0,3.49
575,Westerns,No Country for Old Men,4.5,4.27
576,Moving relationship stories,Room,4.0,4.0
577,Moving relationship stories,Silver Linings Playbook,3.0,3.63
578,Moving relationship stories,Lady Bird,3.5,3.88
579,Moving relationship stories,Marriage Story,3.0,3.99
580,Moving relationship stories,Parasite,5.0,4.58
581,Moving relationship stories,The Queen's Gambit,4.0,4.27
582,Moving relationship stories,Sound of Metal,4.5,4.13
583,Moving relationship stories,Nomadland,4.5,3.84
584,Moving relationship stories,The Handmaiden,4.0,4.37
585,Moving relationship stories,Minari,4.5,4.08
586,Moving relationship stories,Burning,5.0,3.99
587,Moving relationship stories,Dogtooth,3.5,3.78
588,Moving relationship stories,Portrait of a Lady on Fire,5.0,4.42
589,Moving relationship stories,Her,4.0,4.04
590,Moving relationship stories,Drive My Car,4.0,4.14
591,Moving relationship stories,We Need to Talk About Kevin,4.0,3.85
592,Moving relationship stories,After Yang,3.5,3.87
593,Epic history and literature,The Godfather,4.0,4.54
594,Epic history and literature,The Lord of the Rings: The Fellowship of the Ring,1.0,4.32
595,Epic history and literature,Return of the Jedi,4.0,4.01
596,Epic history and literature,Pan's Labyrinth,4.0,4.14
597,Epic history and literature,The Imitation Game,4.0,3.76
598,Epic history and literature,Harry Potter and the Deathly Hallows: Part 2,3.5,3.93
599,Epic history and literature,Star Wars: Episode III - Revenge of the Sith,4.0,3.58
600,Epic history and literature,Star Wars: Episode I - The Phantom Menace,3.0,2.75
601,Epic history and literature,Citizen Kane,3.0,4.18
602,Epic history and literature,Casablanca,3.0,4.23
603,Epic history and literature,Star Wars: The Rise of Skywalker,4.0,2.55
604,Epic history and literature,Onibaba,4.0,4.03
605,Epic history and literature,Portrait of a Lady on Fire,5.0,4.42
606,Epic history and literature,Deathstalker,1.0,2.24
607,Epic history and literature,Kwaidan,4.0,4.14
608,Epic history and literature,The Godfather: Part II,4.5,4.53
609,Thrillers and murder mysteries,"Three Billboards Outside Ebbing, Missouri",5.0,3.98
610,Thrillers and murder mysteries,The Silence of the Lambs,4.0,4.31
611,Thrillers and murder mysteries,Se7en,4.0,4.28
612,Thrillers and murder mysteries,Nightcrawler,4.0,4.03
613,Thrillers and murder mysteries,Psycho,4.0,4.3
614,Thrillers and murder mysteries,Zodiac,4.0,3.98
615,Thrillers and murder mysteries,Shutter Island,1.5,4.05
616,Thrillers and murder mysteries,Saw,4.0,3.57
617,Thrillers and murder mysteries,Hush,3.5,3.28
618,Thrillers and murder mysteries,Sinister,3.0,3.29
619,Thrillers and murder mysteries,Saw II,3.0,3.07
620,Thrillers and murder mysteries,Creep 2,3.5,3.37
621,Thrillers and murder mysteries,Saw IV,3.0,2.62
622,Thrillers and murder mysteries,Saw V,2.5,2.56
623,Thrillers and murder mysteries,Saw 3D,2.5,2.29
624,Thrillers and murder mysteries,Saw VI,3.0,2.75
625,Thrillers and murder mysteries,Casting JonBenet,3.5,3.24
626,Thrillers and murder mysteries,The Handmaiden,4.0,4.37
627,Thrillers and murder mysteries,Burning,5.0,3.99
628,Thrillers and murder mysteries,I Saw the Devil,3.5,3.97
629,Thrillers and murder mysteries,Memories of Murder,4.0,4.3
630,Thrillers and murder mysteries,State of Play,3.0,3.26
631,Thrillers and murder mysteries,I Care a Lot,3.5,3.13
632,Thrillers and murder mysteries,No Country for Old Men,4.5,4.27
633,Thrillers and murder mysteries,Prom Night,1.5,1.82
634,Thrillers and murder mysteries,The Invisible Man,4.0,3.52
635,Thrillers and murder mysteries,The Empty Man,3.5,3.24
636,Thrillers and murder mysteries,The Wailing,5.0,3.92
637,Thrillers and murder mysteries,Mother,4.0,4.06
638,Thrillers and murder mysteries,I Know What You Did Last Summer,3.0,2.9
639,Thrillers and murder mysteries,Diabolique,4.0,4.08
640,Thrillers and murder mysteries,The Secret in Their Eyes,4.5,4.13
641,Thrillers and murder mysteries,The Night House,3.0,3.43
642,Thrillers and murder mysteries,The Batman,4.0,4.09
643,Thrillers and murder mysteries,The Departed,4.5,4.2
644,Thrillers and murder mysteries,Prisoners,4.5,4.21
645,Thrillers and murder mysteries,Nightmare Alley,2.0,3.48
646,Thrillers and murder mysteries,Sympathy for Lady Vengeance,4.5,3.93
647,Thrillers and murder mysteries,Gone Girl,4.0,4.06
