Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-01-04,Punch-Drunk Love,2002,https://boxd.it/2r3rOd,2.5,,My rating is going to make some people sad/mad... I might just be too stupid for this movie or something but I didn’t get it. At all. I wish I got the feelings y’all are talking about in your reviews :(,,2022-01-03
2022-01-15,The Alpinist,2021,https://boxd.it/2tUoAB,4.5,,"There’s nothing better than watching someone do what they love. And boy did Marc-Andre love soloing. There’s not a lot of footage of him climbing, but what you do get to see is truly magical. You can’t help but yearn for that feeling in your own life while watching this.

This is almost the perfect climbing doc except for a few key shortcomings with Peter Mortimer’s choice to narrate, but I get it. It worked really well in The Dawn Wall.

Also shout out to Alex Honnold for appearing the most human-like I’ve ever seen him before in those interviews.",,2022-01-14
2022-01-16,Kwaidan,1964,https://boxd.it/2ubSC7,4,,I’d like to award this movie for having the most surreal set designs of all time.,,2022-01-15
2022-01-17,It Follows,2014,https://boxd.it/2usFXZ,2.5,Yes,"On a second watch, I still do not understand why this movie got so popular. None of the characters make any sense. Like what is the point of having that one girl reading off of her shell-shaped ebook reader the whole movie? What’s the point of any of this? The overall concept is so good and it’s just so poorly executed.",,2022-01-16
2022-01-20,Creep,2014,https://boxd.it/2v7bu1,4,Yes,"Mark Duplass is a real freak for this one. Still a banger on yet another rewatch, though.",,2022-01-19
2022-01-21,Terrified,2017,https://boxd.it/2viyNn,3,,A little incoherent at times but wowzers. That had a surprising amount of scary stuff. The beginning was really phenomenal. The middle bit dragged a little. The final act was just ok. But there was plenty of fun to be had overall.,,2022-01-20
2022-01-25,You Won't Be Alone,2022,https://boxd.it/2wbvtf,3.5,,"My first Sundance Film Fest 2022 movie!

Enjoyed this quite a bit. Beautifully shot, for sure, and the poetic narration matches that same vibe. The plot was interesting and I appreciated the level of gore (some might call it <i>tasteful</i>). Would recommend to anyone who enjoys folk horror/drama.",,2022-01-24
2022-01-27,House,1977,https://boxd.it/2wxIXB,4,,"One of the wildest viewing experiences of all time. I think I enjoyed this? I think subconsciously my brain picked up on a lot of stuff it liked, but I cannot point to concrete examples of those things. Anyway, this was fun.",,2022-01-26
2022-01-28,Hellbound: Hellraiser II,1988,https://boxd.it/2wII8Z,3.5,,"One of my favorite sequels, tbh. Some crazy prosthetic work from the practical effects department and more screen time for Butterball :) what more could you want",,2022-01-27
2022-01-31,Suspiria,1977,https://boxd.it/2xmtoN,4,,The colors in this movie were a treat for my eyeballs. I will be watching more Argento films in the upcoming days,,2022-01-30
2022-02-04,The Thing,1982,https://boxd.it/2y0Vbn,4.5,,Are you kidding me this movie ROCKS,,2022-02-03
